Sentiment,Processed_Text
neutral,nokia oyj 's production site bochum germany posted profit interest 134 mln eur 2007 capital reported excerpt article released tomorrow citing internal documents
negative,rapala vmc corporation stock exchange release october 10 2008 11.45 kaupthing bank oyj `` kapthing `` informed rapala vmc corporation `` rapala `` interrupted liquidity providing rapala 's share time
neutral,divested activities net sales eur 145.1 million 2009 operating profit eur 8.9 million
positive,wynn big bounce
neutral,"polish business employs 1,000 people net sales eur 70mn 2007"
negative,royal mail johnson matthey lead ftse lower
negative,morrisons faces festive sales test
positive,dirk jones head financial institutions client sales management gts citigroup inc said citi extremely pleased providing global custody services pohjola group bank
positive,fda approves nps drug move validating shire takeover deal
positive,20 october 2010 finnish metal products company componenta oyj hel cth1v said yesterday net loss narrowed eur7m first nine months 2010 eur23 .3 period 2009
negative,period 's sales dropped eur30 .6 eur38 .3 according interim report released today
positive,"department store sales improved 14 eur 1,070.6 mn"
neutral,executive said countries brazil chile argentina mexico lead adoption business ethernet services segment brazil mexico early adopters carrier ethernet mobile backhaul
neutral,marketing use tikkurila 's existing infra structure local knowledge russia
negative,twtr best scenario going forward stock slowly falling everyday .... quite probable ...
positive,baird likes tsla upgrades outperform lifts price target 300 research firm also sees capital raise necessary next qtrs
positive,global sports equipment maker amer sports corp. whose brands include atomic salomon wilson saw 64 percent increase third-quarter net profit euro 47.4 million 65 million strong sales cost cuts
positive,fb watching bounce tomorrow
neutral,addition company considering start production russia
neutral,netcom expects complete turbo 3g deployment areas year
neutral,j+ñrvi-suomen portti also planning reduce use sodium nitrite
negative,according ceo matti perkonoja parent company hkscan company 's performance first quarter 2010 remained clearly level corresponding period 2009
neutral,company publish financial statement 2008 february 25 2009
neutral,share sale foreign finnish investors expected raise euro300 million us 380 million
positive,spy http //stks.co/1mir 're holding wednesday thursday closes 'm leaning bullish small postions waiting
negative,"finnish plumbing heating systems supplier uponor 's net sales continuing operations decreased 9.4 2008 eur 949.2 mn eur 1,047.4 mn 2007"
neutral,handset also features media bar quick access favorite media applications including music photos youtube ovi share
neutral,finnish honkarakenne specialises building log houses planning use pine russian karelia
neutral,among biggest christmas sellers 35 satin bow shift dress styled outfits worn victoria beckham 75 paris hilton prom dress
neutral,unaudited consolidated results aspocomp group ifrs reporting standards
neutral,comparable operating profit quarter decreased eur510m sales increased eur860m compared third quarter 2007
neutral,rad charts flashing oversold
positive,fb gettin buy zone soon
neutral,order valued eur15m
neutral,"finnish financial software solutions developer basware oyj said net profit fell 884,000 euro 1.2 mln first quarter 2007 2.0 mln euro 2.7 mln year earlier"
negative,windows 10 awful force upgrade pc without consent windows microsoft msft
positive,finnish forest machinery equipment maker ponsse oyj said october 5 2007 deliver total 67 cut-to-length method forest machines 44 harvester heads brazilian paper maker bahia pulp unnamed uruguayan wood harvesting contractors
neutral,"finnish software company qpr software plc omx helsinki qpr1v reported thursday 23 october operating profit eur63 ,000 net sales eur1 .5 third quarter 2008"
positive,operating profit net sales nine-month period increased respectively 26.6 3.4 compared corresponding period 2006
neutral,international conference call audio webcast concerning financial result january-march 2010 begin 14.00 eet
negative,"finnish kemira 's net sales eur decreased eur 1,259.6 mn january-june 2009 eur 1,425.1 mn january-june 2008"
negative,zsl looking weak could good short setup
neutral,rme telcontar enables handset calculate best route includes support user-defined routes feature navigability multi-modal routing via foot ferry
neutral,calls switchboard directory services decreased significantly since employees up-to-date contact information colleagues customers phone place call directly
positive,ap caterpillar posts 60 percent jump 4q profit steep global sales increase tops wall st. view cat
neutral,insurance policies simple
neutral,nokia capcom announced resident evil degeneration released n-gage later year
negative,steelmaker said drop profit explained continuing economic uncertainty mixed current drought bank lending resulting decline demand products customers find increasingly difficult fund operations
negative,spy weak close
positive,compass group says positive year ahead
neutral,upm-kymmene said indicated interest domestic consolidations
positive,also turned earnings per share eps eur 0.44 versus loss per share eur 2.26
neutral,janno reiljan member eesti energia supervisory board said owners narva power grid informed eesti energia wish sell
neutral,antibody administered repeated doses 8 mg-kg generally well tolerated pharmacokinetic characteristics btt-1023 psoriasis patients consistent observed previously completed study rheumatoid arthritis ra patients
neutral,media advisory ntsb said subsequent testing `` train detection system intermittently failed ``
neutral,according honka japan 's managing director marko saarelainen honkarakenne exports 200 ready made log houses japan year
neutral,consolidated unaudited results amanda capital ifrs reporting standards
neutral,finnish daily kauppalehti surmises finnish supplier rautaruukki raised prices aker 's comfort zone
neutral,"tornio works employs 2,300 1,800 scope fixed-period part-time temporary layoffs april-october period"
neutral,result taxes loss 25.0 million euros
negative,bhp billiton drags ftse lower slashing dividend
neutral,alma media holds 70 company remaining shares owned company 's key employees
neutral,member oneworld alliance includes american airlines british airways
neutral,many commercial vessels got stuck narrow bay bothnia ice thicker around aaland islands
positive,following acquisition relacom strengthen presence finland serving operators office market mobile fixed networks construction installation maintenance services
positive,ponsse projects forest machine markets improve expected 2010 previous year
neutral,ahlstrom corporation anne pirila director financial communications distribution helsinki stock exchange main media ahlstrom brief ahlstrom leader development manufacture marketing high performance fiber-based materials
positive,1 february 2011 finnish textile clothing company marimekko oyj hel mmo1v said today preliminary operating profit grew eur8 .2 2010 eur6 .3 2009
positive,price raw material aluminium went end 2005 company considers outlook 2006 favourable
neutral,volatility squeeze aapl hope gets resolved upside
positive,ramirent 's net sales second quarterended june 30 euro 128.7 million u.s. 163 million 3.3-percent increase compared euro 124.6 million thesecond quarter last year
neutral,fortum holds 90.2 pct share capital 94.4 pct voting rights company plans delist warsaw stock exchange
neutral,north-rhine westphalia issue benchmark 5 year fixed rate deal euros
neutral,f-secure reported first half 2008 seen growing number targeted malware attacks individuals companies organizations
negative,yelp wayyy overvalued right imo trading single digits may take short pos earnings near term target 18 ......
positive,domestic business best-in already close finnish dog owners
neutral,donations granted aalto university universities helsinki tampere turku eastern finland jyv+ñskyl+ñ oulu vaasa polytechnics announced later
neutral,neste oil extended yesterday 's gains put 0.49 pct 22.72 eur utility fortum shed 1.14 pct 20.76 eur
negative,scottrade tsla available shorting time w
neutral,finnish neste oil previously list fallen list completely
neutral,webcast may followed online company website www.ruukki.com/investors
positive,yit says acquisition part strategy expansion central eastern european markets
neutral,hayward calif.-based target designs active casual dress footwear well boots sandals
neutral,area highly valued land already built
positive,companies ready invest funds deal rostelecom rts rtkm
neutral,qpr product family fully compatible microsoft 's windows 7 operating system
neutral,address location provided local controller preferably wireless transmission uses address location access appliance control module
neutral,use proceeds transaction achieve target
positive,ch_roark unxl like ascending triangle 30-minute chart breakout coming monday http //stks.co/at3glooks promising
negative,profit taxes eur 4.0 mn eur 4.9 mn
positive,`` pleased working fujitsu ntt docomo advance progress lte `` said juergen walter head converged core nokia siemens networks
neutral,information released 5 september 2008 nokia 's american depositary shares fell 8
neutral,amer sports companies develop manufacture technically advanced products improve performance active sports participants
neutral,company pledged new software would render e-mails documents much appear desktop computers
positive,rory fitzgerald general manager operations bristol port said `` use low maintenance technology save 30 per cent servicing plus load sensing hydraulics save us extra 15 30 per cent fuel consumption ``
negative,kingfisher takeover mr bricolage could hit brick wall
negative,adpnews may 4 2010 finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit declined eur 12.9 million usd 17m first quarter 2010 eur 17 million correspond
neutral,frost sold shares 19 million 6.06-7 .12 per share compared friday 's high 11.33 low 10.14
neutral,according preliminary data slovakia 's statistics office goods worth e36 .4 million imported finland january october 2010 making 0.1 percent slovakia 's total imports
neutral,niam offer financial investors high return via investments funds turn invest types properties
positive,avgo great growth stk also raised dividend clearly great investment http //stks.co/r2f3h
positive,skf 6 april 2010 alandsbanken given `` buy `` recommendation swedish industrial company skf ab sto skf b share price target sek150
neutral,"trading code eli1v number shares 99,483 price-share gratuitous transfer elisa holds total 10,435,023 shares"
neutral,deal subject approval norwegian competition authorities
neutral,fortum intended spend much euro 2.7 bn become sole owner tgk-10
neutral,period 's sales dropped eur 30.6 million eur 38.3 million according interim report released today
positive,solutions used upgrading networks russian mso 37 different cities russia
positive,`` combined activities create value shareholders good employees customers
neutral,confirmed view july 6
negative,glencore blames rivals creating metals glut
positive,estonia 's beer market overall grew three percent last year 130 million liters
neutral,business transfer take effect 1 january 2007 connection 47 employees transfer elisa daxtum continuing employees
neutral,llc voice data management solution provider wireless companies operations worldwide transferring u.s. deployment operations finnish mobile giant includes civil works site acquisition services
positive,company also compensated acting reserve batch plant
positive,asdfllc nice pop today told ya would green haha funny bring 'm actually working story nok moment
negative,cerberus capital management lp-backed printing paper maker newpage corp. posted mixed second-quarter results casting cloud planned initial public offering
positive,ino back small post
neutral,`` 're pension insurance company 're required diversify put much one asset class
positive,`` p ferries efficient powerful vessel dover calais route `` head shipbuilder 's rauma yard timo suistio said
positive,pcln back `` '' trendline 10/4
negative,adp news feb 12 2009 finnish construction company lemminkainen oyj hel lem1s said today net profit decreased eur 63.5 million usd 81.1 2008 eur 80.6 million 2007
neutral,time nokia india 's largest mnc sought topic could spark million approaches creativity emerging markets
positive,n't see 200 day sma big hurdle good base building nflx https //t.co/imkygo2cyc
neutral,autotank group part aspo 's systems division
negative,media advisory ntsb said subsequent testing `` train detection system intermittently failed ``
positive,wartsila contract october 2007 plant installed manturovo kostroma region russia 600 km northeast moscow russia
neutral,elisa commissioned finland 's poyry telecom oy conduct study reception estonia 's largest cities besides tallinn
neutral,fortum also blocking stake northwestern tgk-1
neutral,report full-year results august 22
neutral,agreed company 's board directors available advisory role
neutral,kaupthing forecasts finnish-swedish stora enso close mill reisholz germany
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 7 august operating profit eur5 .3 period january-june 2008 eur3 .3 corresponding period 2007
neutral,`` ruukki included djsi world second year running european djsi stoxx third year running
negative,new credit suisse boss faces stiff challenge asia
negative,operating loss totalled eur 5.2 mn compared loss eur 3.4 mn corresponding period 2008-2009
neutral,operating profit eur -0.1 mn eur 1.3 mn
neutral,russia 's video international group holds controlling stake russian media ventures
neutral,earnings per share eps amounted loss eur0 .05
positive,"siriusxm added 465,000 net new subscribers first quarter 2016 siri ceo sales marketresearch tech entrepreneur speaker"
neutral,nordic exchange omx offers access approximately 80 percent nordic baltic securities market
neutral,group 's business sectors building construction infrastructure construction technical building services building products
positive,thanksto improvements demand adjustments made theutilization rates cramo 's fleet substantiallyimproved ``
neutral,2009 net profit eur3m company paid dividend eur1 .30 apiece
positive,fda approves shire 's vyvanse binge-eating disorder
negative,micron shares pounded fears loss business apple stifel defends aapl mu http //stks.co/t1z8t marjo
positive,finnish office supplies computer accessories dealer beltton-group plc said net profit rose 1.3 mln euro 1.7 mln 2006 1.13 mln euro 1.5 mln 2005
positive,update 1-berkshire applies boost wells fargo stake 10 pct
neutral,use validation rule base enables verifying processing rule bases managed different administrators fulfil set requirements
negative,finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased 0.6 second quarter 2010 eur 19.2 mn eur 19.3 mn corresponding period 2009
neutral,national conciliator juhani salonius met parties wednesday said far apart views propose mediation
positive,long x 24.62
neutral,"number class shares remains unchanged 9,526,089 shares"
negative,operating profit fell eur 6.2 mn eur 8.5 mn third quarter 2007
positive,pipeline strong
neutral,implementation project carried finnish company yit association investment fund evli property investment russia epi
neutral,extraordinary general meeting expected take place later 18 february 2011
neutral,rautalinko resposnible also mobility services job division continued marek hintze
negative,operating result showed loss eur 2.9 mn year showed profit eur 0.6 mn
positive,adp news dec 11 2008 finnish construction engineering company outotec oyj omx ote1v said today eur 28 million usd 36.8 order expand phosphate concentrator siilinjarvi norwegian minera
neutral,method smelt spouts 2 separated working area 6 shielding wall 8 10 arranged movable relation smelt spouts
positive,kesko 's car import retailing business vv-auto saw sales grow 17.1 pct
positive,"pretax profit rose eur 1,019 mn eur 1,007 corresponding period 2005"
positive,coh gaining momentum nice buy signals long 35.92 http //stks.co/t0tah
positive,investors continue interested company 's share although quite cheap affarsvarlden said
positive,slw weekly 34 calls -28.95 .23 x .25 321 volume worth chance jmho http //stks.co/1qfg
neutral,member board numerous com-panies shareholder boardman ltd board specialist net-work
positive,finnish vacon signed significant deals norwegian scandinavian electric systems ses supply ac drives
neutral,finnish kemira group 's ceo lasse kurkilahti says group 's structural reorganisation continue least year
neutral,"12.01 pm omx helsinki 25 0.66 pct 3,143.57 omx helsinki 0.67 pct lower 10,530.74 253 mln eur turnover"
neutral,figure include food exports finland
neutral,also upset machinery work taken poland
neutral,operations sold include manufacturing units finland france poland turkey well sales units germany lithuania
neutral,operating income eur -24.9 mn including eur 15.3 mn restructuring expenses
neutral,company distributes hiab 's products well products
neutral,fcc chairman kevin martin said fair play required extending deregulatory rules digital subscriber lines telecom providers use broadband networks
positive,pretax profit rose eur 17.8 mn eur 14.9 mn 2005
neutral,alliance aims tap pocketable mobile computers netbooks tablets mediaphones connected tvs in-vehicle infotainment systems
negative,buffett 's company reports 37 percent drop 2q earnings
neutral,tikkurila powder coatings 50 employees four paint plants generated revenues eur2 .4 usd3 .3 2010
positive,finnish bore owned rettig family grown recently acquisition smaller shipping companies
neutral,satama trainers house remain names independent brands business areas
neutral,operating profit totaled eur 9.4 mn eur 11.7 mn 2004
negative,operating profit totalled eur 30.2 mn eur 43.8 mn year earlier
neutral,complete name shareholder otto henrik bernhard nyberg information please contact maija-liisa friman ceo tel +358 9 7597 0711
neutral,emerging markets raisio chosen enter far marked relatively low per capita food consumption
negative,camt looks like might break 'm
neutral,commission income fell eur 4.6 mn eur 5.1 mn corresponding period 2007
neutral,taking marimekko distinctly significant scale
negative,earlier today geberit 's finnish rival uponor oyj cut full-year sales growth forecast 6 pct 10 pct blaming tough conditions germany us well currency factors
neutral,yesterday legrand issued e300 million fixed rate deal maturing 2017
neutral,course 'll direct access nokia 's ovi store 'll lots fun downloading favorite media
negative,operating result 12-month period decreased profit eur0 .4 turnover decreased eur5 .6 compared 2004
positive,14:29 cet monday shares bavarian nordic climbed 1.21 dkk250 stock exchange copenhagen lost 7.41 past month
positive,repeats sees 2008 ebita 18 pct sales
neutral,construction project scheduled start second quarter 2009 new building scheduled place end 2010
neutral,`` hope clarify policies finnish businesses gray areas `` motlanthe said
neutral,bank 's leasing arm nordea liising ended year profit 4.4 million euros
neutral,company 's board directors proposed dividend eur0 .12 per share 2006
negative,`` however rapidly increasing costs strengthening euro challenging whole industry impacted results ``
neutral,argentine agricultural export company calafate tapped compatriot firm finnegans software solution latter company said statement
positive,`` delighted announce support intel based handheld platforms capabilities made development easier faster
positive,nflx tsla making kinds gains 📈
positive,shorts altr 38.85 loss
negative,operating profit totalled eur 9.0 mn eur 9.7 mn first half 2008
negative,fb trend hits mid 110 's drops
neutral,finland op-pohjola 's staff union boycotting group 's insurance sales tasks company refused take sale insurance account determining wages
neutral,several large stocks tacked lower however
neutral,jvc stop producing dvd players brazil jvc brazil subsidiary japan 's jvc group announced stop production dvd players brazil
neutral,amzn trades mid upper range break yet either direction
neutral,roshan 's net sales 2006 191 million ebitda 66.5 million
neutral,terms conditions stock option scheme 2008 available company 's internet pages www.sanoma.com
positive,earnings per share eps amounted eur0 .03 loss eur0 .08
neutral,joint procurement later extended factories baltic countries
neutral,adpnews dec 1 2009 finnish cutlery hand tools maker fiskars oyj abp hel fisas said today make redundant total 18 office management staff members subsidiary iittala group ltd.
neutral,acquisition sum disclosed
negative,sales tiimari segment fell 4.0 year-on-year eur3 .3 june 2010
positive,finnish sampo bank danish danske bank group reports profit taxes eur 152.3 mn 2010 eur 32.7 mn 2009
positive,revenue grew 12 percent x20ac 3.6 billion us 4.5 billion
neutral,shares acquired accordance section 5 rules nasdaq omx helsinki rules applicable acquisition shares
neutral,pleased invite join m-real 's international conference call 3:00 p.m. eet
positive,"fourth quarter 2008 net sales increased 2 eur 1,050.7 mn eur 1,027.0 mn fourth quarter 2007"
neutral,basware headquartered espoo finland
positive,stock trading maps 50-day map sek72 .983 higher 200-day map sek70 .283 bullish indicator
neutral,order plywood mill machinery equipment announced finnish raute september 2006 delivered thebault plyland france
neutral,swedish player became majority owner ucell mid-2007
negative,result 12 people made redundant total 67 persons laid temporarily
negative,aapl short term fund/redemption liquidations .. channel cleared soon solid footing 520 new floor come july
positive,astrazeneca teams daiichi sankyo sell movantik us
neutral,nd disclosed
positive,`` contract demonstrates ability apply minerals metals technologies adjacent industries oil shale processing
neutral,stock hit profit warning finnish rival rautaruukki oyj omx rtrks
neutral,empresa de desarrollo urbano de quito innovar-uio ecuador commissioned poyry prepare feasibility study new urban rapid mass transit system
neutral,finnish technology company raute corporation omx helsinki rutav issued tuesday 23 september profit warning financial year 2008
neutral,rsa 's shares closed 156.9 p time going press
positive,rcon upside today thing severe low float catalyst guy run
positive,je looks like bouncing would nice finish 6 today make hammer nice volume 5.77 bottom fingers crossed
neutral,audio webcast available live archived cerner 's web site www.cerner.com
positive,aapl goldman sachs reiterates conviction buy apple 155 pt spy djia gs https //t.co/h5hmxsitwm
neutral,copying republication redistribution afx news content including framing similar means expressly prohibited without prior written consent afx news
positive,ouch looks like tsla shorts getting skinned
neutral,first two project phases expected completed end 2012
positive,pg ackman making big added efficiency argument betting operational imporvement huge conglomerate go either way imo
positive,operating profit sales three-month period increased respectively eur0 .3 eur13 .1 compared corresponding period 2005
neutral,end last week protalix biotherapeutics inc amex plx published prospectus first offering amex 5 share capital
neutral,efore decided establish company eletric vehicle ev business china
negative,managing director 's comments `` net sales first quarter notably lower year especially finland russia baltic countries
neutral,passenger tunnel expected put operation 2009
positive,tata steel working stanchart uk unit sale source
neutral,request finnish media company alma media 's newspapers research manager jari kaivo-oja finland futures research centre turku school economics drawn future scenario finland 's national economy using model developed university denver
neutral,result started negotiations banks provisional amendments concerning covenants credit terms
neutral,activities range development natural resources retailed marketing finished products
positive,plug closed short position small gain interested options expiring worthless
neutral,apple inc. iphone wo n't change game plan verizon communications inc. chief executive ivan seidenberg said wednesday
positive,production capacity increase 36 000 85 000 tonnes per year raw material continue recycled paper board
positive,astrazeneca sells us drug rights perrigo 380 mln
negative,short interest increases yet http //stks.co/e19h via ryandetrick spy
neutral,process products orders installation separation-filtration equipment three natural gas pipeline projects china south america saudi arabia
negative,hznp havent seen vol like since runup lets see one dip 2.0x
positive,"subscriptions increase cargotec 's share capital 36,780 euros"
neutral,diluted earnings per share eps stood eur 0.25 versus eur 0.42
positive,"daily mail owner considering yahoo bid yhoo 2,05 https //t.co/extzr1riyp"
positive,`` vessel order help aspo secure long-term competitiveness fleet terms technology pricing
neutral,second quarter 2009 net sales operator business partners represented 47 group 's total net sales
negative,arcelormittal chief executive officer lakshmi mittal already cut output furnaces
neutral,space blond wood floors unlike rest store notably scandinavian vibe
neutral,proposed consolidation activities impact approximately 30 positions
positive,consumption forecast grow 2
positive,update 1-eu regulator backs approval gsk injectable asthma drug
negative,starbucks downgraded day new downgraded rewards program starts sbux
neutral,warmly welcome
neutral,efore 's ceo reijo maihaniemi said company developed already delivered power supply units respective systems based technology chinese sector company zte corp 000063
positive,earnings per share quarter came 0.25 eur 0.20 eur quarter year earlier
neutral,exports make 80 per cent sales name glaston also reflects truly internationally operating company `` explains kyro 's president ceo mika seitovirta
positive,"ruukki romania local arm finnish metal producer ruukki increased capital 900,000 euro 1.14 mln cash contribution reported september 19 2006"
neutral,global markets direct 's pohjola bank plc financial analysis review in-depth business financial analysis pohjola bank plc
negative,sabmiller revenue hit weaker em currencies
positive,abb deutsche bank upgraded recommendation swiss-swedish engineering group abb ltd. buy hold
neutral,czech republic profiling unit ostrava closed machinery relocated ruukki 's bigger plants hungary poland romania end first quarter 2009
positive,ackman email says supports valeant ceo pearson
neutral,"floor area yliopistonrinne project 7,900 sq 85,030 sq ft building 's gross area total 12,800 sq m. total 25.1 facilities let"
neutral,aldata said still number operational aspects defined microsoft details product market initiatives resulting agreement available later date
negative,nokia shares hit 13.21 euros friday 50 percent start year part slow introduction touch-screen models
neutral,internal revenue service sees 20 percent taxpayers wait last two weeks file 40 million returns filed april
neutral,solidium picked tikkurila shares dividend book value eur15 .80 per share
positive,bank sees potential getinge share rise
neutral,finnish food industry company l+ñnnen tehtaat planning changes fish product business
positive,quarterly diluted eps continuing operations came 0.21 eur compared last year 's 0.12 eur
neutral,construction work helsinki music centre start autumn total cost project estimated 140 million euros
negative,1nvestor soda 42.71 float short lol http //stks.co/e0dfp
neutral,tieto latvia represented services companies tietoenator alise tietoenator operations industries financial services cards retail logistics outsourcing managed services
positive,citigroup inc nyse c announced global transaction services gts business awarded new mandate finland-based pohjola bank group
neutral,uponor maintains full-year guidance 2010
neutral,stora enso oyj said second-quarter result would fall half compared period 2007
neutral,latin america currently accounts approximately 40 sales tecnotree company president ceo eero mertano recently told bnamericas
neutral,168 asset management experts manage assets worth eur 35 billion
positive,tesco leads ftse higher clubcard bid reports
positive,finnair able operate leisure flights despite strike
negative,nokia 's share price fell less one percent 18.70 euros 25.41 helsinki siemens shares fell 1.02 percent 90.19 euros 122.57 frankfurt
negative,teliasonera 's underlying results however included 457 mln skr positive one-offs hence adjusted underlying ebitda actually amounts 7.309 bln skr clearly expectations analysts said
negative,finnish software hardware developer elektrobit oyj hel ebg1v eb said today temporarily lay 200 people maximum 90 day finland aiming achieve cost savings eur 1.7 million usd 2m second half 2010
negative,operating profit fell eur 7.9 mn second quarter 2005 eur 5.1 mn second quarter 2006
neutral,compensation news opinions distributions
positive,revenue grew 1 percent euro742 .2 million us 964 million euro735 million
positive,seminar memorandum understanding co-operation signed finnish kemira company vietnam national chemical corporation
neutral,votorantim celulose e papel vcp part votorantim group major brazilian conglomerate
neutral,"finnish company building 800,000 mt-year biodiesel plant singapore"
neutral,sale comprising margarine business finland poland follows approval polish competition authorities earlier october
neutral,"plant go stream november 2008 estimated daily production 120,000 litres bioethanol"
negative,operating profit excluding non-recurring items amounted eur 40.6 mn eur 57.3 mn year-on-year
neutral,group 's revenue amounts eur 80 million half accounted exports
negative,"far norwegian norske skog reduced staff levels 1,000 people plans reduce production 200,000 tons 2008 finnish-swedish stora enso cut staff 1,700 people production 500,000 tons"
neutral,lkab headquartered lulea sweden high-tech mining company producing upgraded iron ore products steel industry
neutral,`` want credit card info personal details
positive,upm-kymmene generated thirty-one consecutive quarters positive ebitda
negative,really surprised much fb fallen thought 'd support around 50d guess
neutral,operating loss totalled eur 12.7 mn compared profit eur 17.7 mn first half 2008
neutral,event also viewed live audio webcast www.ahlstrom.com
negative,operating profit excluding non-recurring items eur 7.8 million compared eur 11.2 million
neutral,maximum grade veneer yield calculated based dimensions grades veneer products well iterating places peeling axes simulating peeling process
neutral,operating margin came 2.4 5.7
neutral,`` ukraine act partner major bakery clients production product development
neutral,result merger largest professional electronics telecommunications technology contract manufacturing center finland formed sievi
positive,transaction line aspo 's strategy expand baltic sea region eastern markets
neutral,merging two free sheets clarify market situation
neutral,arena partners oy development company electronic business
negative,cramo slipped pretax loss eur 6.7 million pretax profit eur 58.9 million
neutral,studies expected start 2008
neutral,net profit period 2006 36.6 million euros
negative,finnish communication electronics components supplier scanfil oyj tuesday said sales first half 2006 15 lower period year ago
neutral,number magazine newspaper readers remained unchanged
neutral,company net sales eur 19.8 mn pre-tax profit eur 1.8 mn 2005
neutral,workforce reduced also amsterdam office netherlands
neutral,yvonne jones owner chameleon interiors
neutral,downloadable instruction sheet instructional video project ideas award-winning everywhere punch tm window system found www.fiskars.com
neutral,2007 talentum disclose three interim reports q1 january march friday 27 april 2007 q2 april june friday 20 july 2007 q3 july september friday 26 october 2007
positive,parties also agreed options allow uh extensively implement later also functionalities human resources management
neutral,london afx intertek group plc testing inspection company said commercial electrical division bought finland-based company natlabs oy etteplan oyj 1.3 mln eur cash
neutral,finnair believes strike cause daily net losses excess eur 2mn due canceled reservations passenger re-routing
positive,nordea sees return positive growth baltic countries 2011
neutral,negotiations concern plant 's department producing winded roving employs 10 people
neutral,poyry plc additional information martin kuzaj president industry business group finland tel +358 10 33 21179 sanna paivaniemi director investor relations poyry plc finland tel +358 10 33 23002 poyry global consulting engineering company dedicated balanced sustainability
positive,binkster69 's er 's lol looking correlation aria foreign price charts poised breakout
neutral,rapala vmc corporation stock exchange release october 10 2008 11.45 kaupthing bank oyj `` kapthing `` informed rapala vmc corporation `` rapala `` interrupted liquidity providing rapala 's share time
neutral,part new strategy finnish biohit planning incorporate diagnostics business separate limited company
neutral,"virala oy ab allocated board directors amount eur 1,9 million eur 0,25 million lower maximum announced 12/30/2010"
positive,juha jordan chief engineer glaston said one reasons choosing vacon global ac drives supplier service support centres countries glaston operates
neutral,another firm air liquide exempted left market 1998
negative,finnair 's total traffic decreased 8.7 terms revenue passenger kilometres
neutral,reorganisation carried transferring hkscan corporation 's production-related property plant equipment finland well holdings subsidiaries associates hkscan finland oy holding company wholly owned hkscan corporation
negative,cash flow operations january-december 2008 negative eur 18.1 mn compared eur 39.0 mn corresponding period 2007
neutral,helsinki afx cargotec said bought 95 pct stake indital construction machinery ltd bangalore-based company makes fork lift trucks mobile cranes undisclosed sum
positive,finnish silicon wafer technology company okmetic oyj omx helsinki okm1v reported thursday 30 october operating profit eur7 .4 january-september 2008 eur6 .1 corresponding period 2007
positive,dcth near hod
neutral,cs cabot 's main consumers czech slovak market tires producers barum continental matador continental
positive,alert new macd signal created ctxs buy 77.09 time 18:23 strength 10 powered https //t.co/4tdgjedllz
neutral,cameco typically prices sales contracts using 40:60 ratio fixed prices spot prices
neutral,total service concept also includes technology services raute supports customers throughout entire life cycle investments
neutral,russia wants utilise huge forest reserves different way done far
neutral,"based 2005 calendar year combined company eur15 .8 bn pro forma annual revenues expected start operations 60,000 employees"
negative,diluted earnings per share eps fell eur 0.63 eur 1.71
neutral,incap furniture presently negotiating staff cuts
neutral,aapl broke descending channel .... hold
positive,acquisition expected improve access chrome ore resources turkey
neutral,investment place atria plans expand moscow market
positive,respondents praised finnair 's reliability finnishness understanding target group
positive,satama earned data management solutions competency business intelligence specialization recentlyvia acquisition fimentor oy
positive,aim ensure vacon good shape capital expenditure starts pick `` comments vacon plc president ceo vesa laisi
neutral,objective trading shares commence may 2 2007
neutral,tsla x recall big deal ... problem excuse guide way way lower ...
neutral,aspocomp said spin chinese indian units equipment salo plant finland newly-formed unit sell hong kong-listed meadville
positive,first nine months 2010 talvivaara 's net loss narrowed eur 8.3 million eur 21.9 million period 2009
neutral,subscribe magazine
neutral,janis arbidans ceo yit celtnieciba said company focusing housing real estate development market
neutral,decided auditors reimbursed according invoice
neutral,kalmar espana generated net sales 11.3 mln euro 14.8 mln 2005
neutral,alexandria va. oct. 15 -- aaron moss hampshire great britain developed ornamental design handset u.s. patent trademark office announced
positive,louiebeene vwap 1.63 held trend line lot radars navb
positive,arm holdings plc partners international business machines corp. drive ...
neutral,finnish law parliament grants licences build nuclear power plants
negative,operating profit excluding non-recurring items totaled eur 5.4 mn compared eur 5.5 mn corresponding period 2007
neutral,"enp newswire 22 march 2011 release date 21032011 total 13,000 talvivaara mining company plc 's new shares subscribed period 1 january 2011 28 february 2011 company 's stock option rights 2007a"
positive,cdti bounce support h setup area important bulls lose http //stks.co/c0mf3
neutral,ssh establishes new global sales marketing group led george adams adams establishes global sales marketing group drive worldwide programs supporting ssh tectia enterprise security solutions
neutral,businesses divested offer dairy edible fats ready-meal ice-cream packaging multinational local customers
neutral,scope project find cost-efficient method phosphorous removal deliver storing dosing equipment used continuous operation plants
neutral,microsoft last week also issued first patch windows 7 operating system beta released days earlier
positive,1 block lamp harri koskinen 's light introduced 1996 bestseller ever since
neutral,original patent filed finland application
neutral,compared ftse 100 index fell 35.2 points 0.6 day relative price change 0.6
neutral,ruukki 's delivery includes steel structures including installation krakeroy bascule bridge steel piles bridge foundations
positive,forestries also higher driven yesterday 's bullish analyst comment stora enso dagens industri dealers said
neutral,4 january 2011 finnish media company alma media corporation hel aln1v said today online recruitment service monster oy partner local newspaper publisher suomen lehtiyhtyma listing job advertisements
